,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,Scenario
103,671,177,8,14,BernoulliNB,POW4,4.880031947807654,0.047252204801863,0.0026061886065,25,0.1,25,29,168,4.0,4.0,4.0,4.0,Flat
104,680,182,16,2,SVC_rbf,LC-PFN,0.0572871824260801,0.0010312870144844,1.418474425918248e-06,25,0.1,25,40,171,1.0,1.0,1.0,1.0,Flat
105,681,182,16,2,SVC_rbf,MMF4,0.2030485614340963,0.0036734404882145,2.6142984362377456e-05,25,0.1,25,40,171,4.0,4.0,4.0,4.0,Flat
106,682,182,16,2,SVC_rbf,WBL4,0.0646549468935701,0.0011637188992133,2.6540630341478954e-06,25,0.1,25,40,171,3.0,3.0,3.0,3.0,Flat
107,683,182,16,2,SVC_rbf,POW4,0.0639807403171656,0.0011515990631388,2.60039447133779e-06,25,0.1,25,40,171,2.0,2.0,2.0,2.0,Flat
108,692,181,216,1,SVC_poly,LC-PFN,3.959619626402855,0.0593035817146301,0.0043507181107997,25,0.1,25,70,174,1.0,1.0,1.0,1.0,Flat
109,693,181,216,1,SVC_poly,MMF4,7.033781116172764,0.1017109855609604,0.0123867781418036,25,0.1,25,70,174,3.0,3.0,3.0,3.0,Flat
110,694,181,216,1,SVC_poly,WBL4,7.224957718631315,0.1042550461554713,0.0129254579560878,25,0.1,25,70,174,4.0,4.0,4.0,4.0,Flat
111,695,181,216,1,SVC_poly,POW4,4.836322475218916,0.0717405229200246,0.0065635386659011,25,0.1,25,70,174,2.0,2.0,2.0,2.0,Flat
112,696,183,245,1,SVC_poly,LC-PFN,1.1954805813729763,0.0190876778215169,0.0006116685108281,25,0.1,25,78,175,4.0,4.0,4.0,4.0,Flat
113,697,183,245,1,SVC_poly,MMF4,1.1472097347865469,0.018312636334302,0.0005971340427628,25,0.1,25,78,175,2.0,2.0,2.0,2.0,Flat
114,698,183,245,1,SVC_poly,WBL4,1.160338494652258,0.0185238844438091,0.0005993737426603,25,0.1,25,78,175,3.0,3.0,3.0,3.0,Flat
115,699,183,245,1,SVC_poly,POW4,1.0713839685667252,0.0170906159690238,0.0005905768922801,25,0.1,25,78,175,1.0,1.0,1.0,1.0,Flat
116,700,184,163,1,SVC_poly,LC-PFN,0.7623056881129742,0.014168725349009,0.0003159455955028,25,0.1,25,26,176,3.0,3.0,3.0,3.0,Flat
117,701,184,163,1,SVC_poly,MMF4,0.6896920647354661,0.0128194425872621,0.000251842698352,25,0.1,25,26,176,2.0,2.0,2.0,2.0,Flat
118,702,184,163,1,SVC_poly,WBL4,1.3538246406602954,0.0249369159355831,0.0009633576211037,25,0.1,25,26,176,4.0,4.0,4.0,4.0,Flat
119,703,184,163,1,SVC_poly,POW4,0.5155927133494829,0.0095692203721037,9.74734752653312e-05,25,0.1,25,26,176,1.0,1.0,1.0,1.0,Flat
120,708,187,83,2,SVC_rbf,LC-PFN,0.5762158893048763,0.0101217543706297,0.0001241699792444,25,0.1,25,21,178,3.0,3.0,3.0,3.0,Flat
121,709,187,83,2,SVC_rbf,MMF4,0.4550068853880036,0.0079199610550127,9.973678418406204e-05,25,0.1,25,21,178,2.0,2.0,2.0,2.0,Flat
122,710,187,83,2,SVC_rbf,WBL4,0.7144933715270647,0.0123864308599124,0.0002280822311859,25,0.1,25,21,178,4.0,4.0,4.0,4.0,Flat
123,711,187,83,2,SVC_rbf,POW4,0.1731986124880038,0.0030202419873949,1.744614657101126e-05,25,0.1,25,21,178,1.0,1.0,1.0,1.0,Flat
124,728,193,143,14,BernoulliNB,LC-PFN,1.3622925616800785,0.0211439356207847,0.000527722237166,25,0.1,25,13,183,3.0,3.0,3.0,3.0,Flat
125,729,193,143,14,BernoulliNB,MMF4,1.180586733819727,0.0182795123660678,0.000368287756412,25,0.1,25,13,183,2.0,2.0,2.0,2.0,Flat
126,730,193,143,14,BernoulliNB,WBL4,1.093456547179965,0.0169138879695057,0.0003197321465521,25,0.1,25,13,183,1.0,1.0,1.0,1.0,Flat
127,731,193,143,14,BernoulliNB,POW4,2.253271777056404,0.0353356428412121,0.0014270183465731,25,0.1,25,13,183,4.0,4.0,4.0,4.0,Flat
128,736,195,20,1,SVC_poly,LC-PFN,0.8989844471216202,0.0139152901247143,0.0002615799603518,25,0.1,25,18,185,3.0,3.0,2.0,2.6666666666666665,Flat
129,737,195,20,1,SVC_poly,MMF4,0.880202899018488,0.013639066840388,0.0002700029999044,25,0.1,25,18,185,2.0,2.0,3.0,2.3333333333333335,Flat
130,738,195,20,1,SVC_poly,WBL4,0.959139788377247,0.0148811205320297,0.0003225302005999,25,0.1,25,18,185,4.0,4.0,4.0,4.0,Flat
131,739,195,20,1,SVC_poly,POW4,0.5476683168120533,0.0084392231935381,9.989143643150358e-05,25,0.1,25,18,185,1.0,1.0,1.0,1.0,Flat
132,756,17,42,3,SVC_sigmoid,LC-PFN,4.853370413184166,0.0700996816158294,0.0059123802930116,25,0.1,25,44,190,1.0,1.0,1.0,1.0,Flat
133,757,17,42,3,SVC_sigmoid,MMF4,33.77641010717189,0.3752606840214421,0.1624989546151624,25,0.1,25,44,190,4.0,4.0,4.0,4.0,Flat
134,758,17,42,3,SVC_sigmoid,WBL4,7.440638602341385,0.1172523366124452,0.0200839908716462,25,0.1,25,44,190,2.0,2.0,2.0,2.0,Flat
135,759,17,42,3,SVC_sigmoid,POW4,25.40515344499709,0.3005307398226335,0.1035966900836906,25,0.1,25,44,190,3.0,3.0,3.0,3.0,Flat
136,768,157,252,14,BernoulliNB,LC-PFN,4.6382661908864975,0.0417249724268913,0.0023069118615239,25,0.1,25,45,193,2.0,2.0,2.0,2.0,Flat
137,769,157,252,14,BernoulliNB,MMF4,22.40677115086877,0.1676282207426536,0.0339681832448294,25,0.1,25,45,193,3.0,3.0,3.0,3.0,Flat
138,770,157,252,14,BernoulliNB,WBL4,22.885210760316856,0.1704191242593198,0.0349205938053089,25,0.1,25,45,193,4.0,4.0,4.0,4.0,Flat
139,771,157,252,14,BernoulliNB,POW4,2.763523625179833,0.026682309109976,0.0009514891119757,25,0.1,25,45,193,1.0,1.0,1.0,1.0,Flat
140,772,185,59,1,SVC_poly,LC-PFN,5.336237698793411,0.0260495115071535,0.0007235771627165,25,0.1,25,21,194,2.0,2.0,2.0,2.0,Flat
141,773,185,59,1,SVC_poly,MMF4,9.731554712309444,0.0429855294424109,0.0028980285708366,25,0.1,25,21,194,3.0,3.0,3.0,3.0,Flat
142,774,185,59,1,SVC_poly,WBL4,10.917845888667806,0.047461806788602,0.0033846208150409,25,0.1,25,21,194,4.0,4.0,4.0,4.0,Flat
143,775,185,59,1,SVC_poly,POW4,0.8096751365106722,0.0035247242404777,1.964396164989836e-05,25,0.1,25,21,194,1.0,1.0,1.0,1.0,Flat
144,808,11,139,2,SVC_rbf,LC-PFN,0.4214636981487274,0.0073701022192835,5.462394983624108e-05,25,0.3,25,25,203,4.0,4.0,4.0,4.0,Flat
145,809,11,139,2,SVC_rbf,MMF4,0.1100097010518036,0.0019298332497133,4.053960201990616e-06,25,0.3,25,25,203,3.0,3.0,3.0,3.0,Flat
146,810,11,139,2,SVC_rbf,WBL4,0.0933032560955658,0.0016370554504805,3.028292204650848e-06,25,0.3,25,25,203,1.0,1.0,1.0,1.0,Flat
147,811,11,139,2,SVC_rbf,POW4,0.1047255776991206,0.001837245951049,3.662955816428309e-06,25,0.3,25,25,203,2.0,2.0,2.0,2.0,Flat
148,832,22,165,1,SVC_poly,LC-PFN,0.1410209340974688,0.0026986361481249,7.671096682315692e-06,39,0.3,39,93,209,4.0,4.0,4.0,4.0,Flat
149,833,22,165,1,SVC_poly,MMF4,0.0092990980559983,0.0001777036905369,3.157868279308829e-08,39,0.3,39,93,209,2.0,2.0,2.0,2.0,Flat
