,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
132,38,179,9,RidgeClassifier,LC-PFN,0.6920736748725176,0.0131999654695391,0.0001898768095998,25,0.1,25,51,34,2.0,2.0,2.0,2.0
133,38,179,9,RidgeClassifier,MMF4,1.090869865110339,0.0212730652249957,0.0005226870996049,25,0.1,25,51,34,3.0,3.0,3.0,3.0
134,38,179,9,RidgeClassifier,WBL4,0.4229955335782301,0.008094095660963,8.187111365980276e-05,25,0.1,25,51,34,1.0,1.0,1.0,1.0
135,38,179,9,RidgeClassifier,POW4,2.58670983978542,0.0469168146331987,0.0032029777120662,25,0.1,25,51,34,4.0,4.0,4.0,4.0
136,37,130,11,MLP,LC-PFN,2.3813527077436447,0.039149735122919,0.0021528168581426,25,0.1,25,44,35,4.0,4.0,4.0,4.0
137,37,130,11,MLP,MMF4,1.541864461032722,0.0248623512208638,0.0010023605686108,25,0.1,25,44,35,2.0,2.0,2.0,2.0
138,37,130,11,MLP,WBL4,1.5392750021760853,0.024819849605605,0.0009988484586577,25,0.1,25,44,35,1.0,1.0,1.0,1.0
139,37,130,11,MLP,POW4,1.6313688811069718,0.0263358976255024,0.0011363106136157,25,0.1,25,44,35,3.0,3.0,3.0,3.0
140,40,111,19,NearestCentroid,LC-PFN,0.9291650727391244,0.0117601156234741,0.0001469669077778,25,0.1,25,21,36,2.0,2.0,2.0,2.0
141,40,111,19,NearestCentroid,MMF4,0.9668449693937848,0.012358185587254,0.0002510251723316,25,0.1,25,21,36,3.0,3.0,3.0,3.0
142,40,111,19,NearestCentroid,WBL4,1.4415703638455315,0.01829247649715,0.00048537545115,25,0.1,25,21,36,4.0,4.0,4.0,4.0
143,40,111,19,NearestCentroid,POW4,0.4937542674471414,0.0063540367452534,7.268607148168986e-05,25,0.1,25,21,36,1.0,1.0,1.0,1.0
144,41,110,15,MultinomialNB,LC-PFN,0.6810731720179319,0.0104598961770534,0.0001431088749086,25,0.1,25,29,37,4.0,4.0,4.0,4.0
145,41,110,15,MultinomialNB,MMF4,5.467709575340234e-08,8.323069015601397e-10,7.061190906828827e-19,25,0.1,25,29,37,1.0,1.0,1.0,1.0
146,41,110,15,MultinomialNB,WBL4,0.0009471989919731,1.4418623580831364e-05,2.2839121980500983e-10,25,0.1,25,29,37,3.0,3.0,3.0,3.0
147,41,110,15,MultinomialNB,POW4,3.4225984116518185e-07,5.209955386649375e-09,4.062886641630994e-17,25,0.1,25,29,37,2.0,2.0,2.0,2.0
148,42,127,5,ExtraTree,LC-PFN,0.5419188179075718,0.0102237835526466,0.0001162155967904,25,0.1,25,43,38,1.0,1.0,1.0,1.0
